keys rel_L2_RMSE_hat_eps512_5_c_2_h2048 rel_L2_RMSE_star_eps512_5_c_2_h2048 rel_L2_RMSE_bar_eps512_5_c_2_h2048 rel_L2_RMSE_hat_eps512_5_c_5_h2048 rel_L2_RMSE_star_eps512_5_c_5_h2048 rel_L2_RMSE_bar_eps512_5_c_5_h2048 rel_L2_RMSE_hat_eps512_5_c_10_h2048 rel_L2_RMSE_star_eps512_5_c_10_h2048 rel_L2_RMSE_bar_eps512_5_c_10_h2048 rel_L2_RMSE_hat_eps512_5_c_50_h2048 rel_L2_RMSE_star_eps512_5_c_50_h2048 rel_L2_RMSE_bar_eps512_5_c_50_h2048
0.05000000000000000 0.01275683051053406 0.01217756064224776 0.01565311640967657 0.08404795500521731 0.06576704739712666 0.09806591512339073 0.14243508327828147 0.12040231658955804 0.16301899538532658 0.21735597389832750 0.19176342369030436 0.24552608387678837
0.06000000000000000 0.01249125071154352 0.01358389469429508 0.01573899858315846 0.08069686903718500 0.06000207639374967 0.09701736034661543 0.13691599312705535 0.11191350345399606 0.16088507103463806 0.20892159964226775 0.17992229715625233 0.24170446253726605
0.07000000000000001 0.01212441510481352 0.01626457720252949 0.01573055593311079 0.07473323010598358 0.05042889788266440 0.09466173617175162 0.12722753157474179 0.09773566797703612 0.15653858750398134 0.19427386270785216 0.16015633795252451 0.23436283596298091
0.08000000000000002 0.01166947115997915 0.01836912950801503 0.01544097668937084 0.07092286581029628 0.04479533455967355 0.09319522805940988 0.12114049960176622 0.08912820461745434 0.15393086219000635 0.18518259332845921 0.14813611500124318 0.23002043117393334
0.09000000000000001 0.01125007604817415 0.02223706633644187 0.01462037781791876 0.06460687880284975 0.03810254477192127 0.08954012382406179 0.11137748856628309 0.07762258700082292 0.14817121984095324 0.17102109758388925 0.13167582255870841 0.22130034099726831
0.10000000000000001 0.01116015526516742 0.02312064441452163 0.01551918831095879 0.06416930179320263 0.03600069043579193 0.09205284642554566 0.11009573554376366 0.07402610531055989 0.15117182645303595 0.16850951651579252 0.12650830081959044 0.22461281173427639
0.11000000000000001 0.01103134428939753 0.02443786919753156 0.01564817332842455 0.06225865773237350 0.03355858083759357 0.09211317007136521 0.10689321761448325 0.06951626855409387 0.15090517645823406 0.16359241418355522 0.11997793219035746 0.22373216991418229
0.12000000000000001 0.01102081734255295 0.02809541890951527 0.01588294634898663 0.05807806488870999 0.03009517188077059 0.09193443737381864 0.09989880728771741 0.06038923384476266 0.14991330984089657 0.15298124067956462 0.10612840914184121 0.22133415419212793
0.13000000000000000 0.01149293467770055 0.03187183256559347 0.01507256066277435 0.05116111216099949 0.02655042397165491 0.08763232947698067 0.08916439772102544 0.04900259391463167 0.14332108148827696 0.13754936142862617 0.08886263188489761 0.21164255565018331
0.14000000000000001 0.01123095284856175 0.03314886523148444 0.01576555392861194 0.05013003516124107 0.02647225545024272 0.08988956129948263 0.08707450338323845 0.04589584495249150 0.14605082561217841 0.13401259265573842 0.08358103054630130 0.21467926803943280
0.15000000000000002 0.01126043350150027 0.03601472832123278 0.01526232363848750 0.04490852281321308 0.02646461468318033 0.08800198012903948 0.07896394196002665 0.03810378632707899 0.14301552842650855 0.12232307681746786 0.07045170716509823 0.20996521881803887
0.16000000000000003 0.01138862469849999 0.03699097822347731 0.01570059627166292 0.04347416141989278 0.02654844904042792 0.08892959215764014 0.07636244038475022 0.03495342821295391 0.14401328425715434 0.11824566120917492 0.06507319300996711 0.21088581477521018
0.17000000000000004 0.01163703906298035 0.03948499060725688 0.01618133455819895 0.04093854052133989 0.03083594221578744 0.08977798414302086 0.07200160736057275 0.03480077629489420 0.14479676826743146 0.11164964343450845 0.06001565200895222 0.21135691601871190
0.18000000000000005 0.01231976877629660 0.04231900457007918 0.01563058204764313 0.03700434648987429 0.03578636402362118 0.08783889794018213 0.06574864366854648 0.03577805431464402 0.14201178440160284 0.10273070458228160 0.05491677517425176 0.20744885795640497
0.19000000000000000 0.01208224976376651 0.04352679043356144 0.01559196232647808 0.03475462419775292 0.03754497591178642 0.08831986415030166 0.06228109040237296 0.03550031770605142 0.14256395330648561 0.09775374467645742 0.05138213726270743 0.20793595254515504
0.20000000000000001 0.01295518890399452 0.04511958405800793 0.01588103594398220 0.03320362890083944 0.04039528962118705 0.08819387721553976 0.05896799931306149 0.03665622645123688 0.14202920743741373 0.09242392475025116 0.04840837007507179 0.20673312036572247
0.21000000000000002 0.01345521014870965 0.04826726833485478 0.01602609134865400 0.02910621986110518 0.04551601545878762 0.08858581931141279 0.05202804170743588 0.03874626916640794 0.14236947309729786 0.08222934039495722 0.04217228220172053 0.20681482067905960
0.22000000000000003 0.01380203013082862 0.04909151956736897 0.01622420881283193 0.02783595421746806 0.04680747287244388 0.08907663583728156 0.04947283199545544 0.03912045637795924 0.14296194191297049 0.07821763525173756 0.03964117015854797 0.20745249413521266
0.23000000000000004 0.01462179147745845 0.05167758367567308 0.01659728556183331 0.02599191770100654 0.05233732638792753 0.08993578725338813 0.04541159382795108 0.04533184640381249 0.14411156815950060 0.07178772950932710 0.04307857710494198 0.20888244793421468
0.24000000000000005 0.01503736818694382 0.05310619685656828 0.01614522102877733 0.02347571856235590 0.05506340559380142 0.08900990957587089 0.04103186410801887 0.04798804348955021 0.14282552990849995 0.06551147740125043 0.04371508907150732 0.20706588151983771
0.25000000000000006 0.01432915137086998 0.05242250917757162 0.01700834676878424 0.02230905424242603 0.05333317832904647 0.09198373117644364 0.03960150828779607 0.04531999703286199 0.14690518360674962 0.06355704543546790 0.03979657778484491 0.21239786293017310
0.26000000000000006 0.01590717420222156 0.05611793059444183 0.01693498419601661 0.02082281316638502 0.06076414743887097 0.09159140606304200 0.03446414130113268 0.05376263081700799 0.14637123773738100 0.05484560954585098 0.04604565239072294 0.21161428463814208
0.27000000000000002 0.01664327098251739 0.05753139871191821 0.01722087161797729 0.02131910543347468 0.06426674930974252 0.09264255622157751 0.03379657695319518 0.05879435724493134 0.14818720215920445 0.05303355317018798 0.05283877850475002 0.21449582964818537
0.28000000000000003 0.01693665700444409 0.05770935970042499 0.01690982596315943 0.01909689918590740 0.06395182884070777 0.09215878031562674 0.02928914108489983 0.05744404980921081 0.14753609171241691 0.04638828358329052 0.04909772887368797 0.21357576520301652
0.29000000000000004 0.01714307570860435 0.05931424090566269 0.01801661447476700 0.01968460822657367 0.06747830938069069 0.09575288550708209 0.02905498948164755 0.06213126177572360 0.15280213605421603 0.04506820881661568 0.05491374282897295 0.22094878264450643
